"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene","maxcell"
"ATG16L1",0.714,0.296552165967947,0.428,0.296552165967947,0.976,0.834,"7","ATG16L1","7"
"KIF9",0.713,0.71706217116654,0.426,0.717062171166539,0.829,0.613,"7","KIF9","7"
"TMEM167A",0.712,0.332818112206535,0.424,0.332818112206534,0.882,0.731,"7","TMEM167A","7"
"CLTA",0.711,0.492119745501335,0.422,0.492119745501336,0.971,0.705,"7","CLTA","7"
"XRN2",0.711,0.48514987256809,0.422,0.485149872568087,0.988,0.711,"7","XRN2","7"
"RND1",0.71,0.638361943402058,0.42,0.638361943402058,0.6,0.378,"7","RND1","7"
"S100A14",0.71,0.488720101809513,0.42,0.488720101809513,0.706,0.397,"7","S100A14","7"
"UPF2",0.71,0.48210686480151,0.42,0.48210686480151,0.829,0.566,"7","UPF2","7"
"SRI",0.709,0.356748556912646,0.418,0.356748556912645,0.941,0.647,"7","SRI","7"
"CD59",0.708,0.550431066282365,0.416,0.550431066282366,0.912,0.707,"7","CD59","7"
"DOCK7",0.708,0.383159285429022,0.416,0.383159285429022,0.906,0.665,"7","DOCK7","7"
"MAP7",0.708,0.252734583857576,0.416,0.252734583857576,0.759,0.46,"7","MAP7","7"
"MSMB",0.706,1.68900214483384,0.412,1.68900214483384,0.218,0.176,"7","MSMB","7"
"CLEC11A",0.705,0.404668956239826,0.41,0.404668956239825,0.753,0.799,"7","CLEC11A","7"
